<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
20190717 110000 234.3200000 238.0400000 234.0200000 237.1200000 8548250
20190717 120000 237.1200000 237.4300000 236.5500000 237.2000000 2801380
20190717 130000 237.2000000 237.2000000 236.8100000 237.1800000 2097860
20190717 140000 237.1700000 237.7000000 236.7000000 237.1900000 2848650
20190717 150000 237.1900000 237.5800000 236.8500000 237.1300000 1454710
20190717 160000 237.1400000 237.3400000 236.8500000 237.2700000 1368770
20190717 170000 237.2600000 237.2900000 235.9700000 237.0300000 3136040
20190717 180000 236.9900000 237.2500000 233.5000000 234.0300000 5668880
20190717 190000 234.0200000 234.9500000 233.7800000 234.6300000 5587690
20190718 110000 233.8100000 235.4500000 233.5000000 235.0000000 4889430
20190718 120000 235.0800000 235.2000000 234.1700000 234.3500000 1919810
20190718 130000 234.2800000 234.7500000 233.6100000 234.4900000 2670560
20190718 140000 234.4900000 235.5500000 234.1700000 235.0600000 1698670
20190718 150000 235.0600000 235.7500000 235.0000000 235.4700000 1575960
20190718 160000 235.4800000 236.4000000 235.1800000 236.2000000 2588390
20190718 170000 236.2100000 236.3900000 235.5900000 235.6000000 2893420
20190718 180000 235.6000000 236.1500000 235.1000000 235.8700000 2164040
20190718 190000 235.8700000 235.9300000 234.7500000 234.7800000 2418260
20190719 110000 236.3500000 237.9300000 236.3300000 236.5500000 7202320
20190719 120000 236.5500000 237.2300000 235.5500000 236.0000000 3955530
20190719 130000 235.9500000 236.6600000 235.5000000 235.7100000 2049790
20190719 140000 235.8100000 236.3600000 235.3300000 236.0900000 1365220
20190719 150000 236.1200000 236.5500000 235.5300000 235.5700000 1265710
20190719 160000 235.5400000 235.6800000 234.1300000 234.2700000 4313240
20190719 170000 234.3000000 234.5900000 233.5100000 233.9600000 5490790
20190719 180000 233.9600000 234.0300000 232.4200000 232.6200000 5493850
20190719 190000 232.6300000 233.2800000 232.3200000 232.8500000 3449630
20190722 110000 232.9300000 233.2300000 228.5700000 229.7300000 12375110
20190722 120000 229.7100000 231.7800000 229.4000000 231.4200000 3459910
20190722 130000 231.4600000 231.4800000 230.3800000 230.5500000 1967200
20190722 140000 230.4500000 232.1000000 230.4200000 231.9200000 2168070
20190722 150000 231.9100000 232.2000000 231.4400000 231.8700000 2312750
20190722 160000 231.8700000 233.9800000 231.5700000 233.0600000 4879090
20190722 170000 233.1000000 233.2600000 231.3000000 232.2400000 3375870
20190722 180000 232.1900000 233.1000000 230.7500000 230.8100000 3793420
20190722 190000 230.8100000 231.4600000 230.3500000 230.3500000 3599480
20190723 110000 230.5000000 231.6600000 229.2100000 229.3100000 7023250
20190723 120000 229.3000000 230.4400000 228.5200000 229.7300000 3845880
20190723 130000 229.6700000 231.1500000 229.5100000 230.8500000 3610810
20190723 140000 230.9200000 231.2900000 230.5000000 230.9000000 2049400
20190723 150000 230.9100000 232.2000000 230.9100000 231.9300000 4058100
20190723 160000 231.9300000 232.1400000 230.9300000 231.0800000 2473300
20190723 170000 230.9900000 231.2200000 230.1700000 230.5300000 3144480
20190723 180000 230.4700000 232.4000000 230.4700000 232.2900000 4657710
20190723 190000 232.2600000 232.8300000 232.1300000 232.4800000 5443760
20190724 110000 233.7200000 234.0000000 231.7500000 231.9600000 8490060
20190724 120000 231.9500000 232.5100000 231.5100000 232.1600000 2675710
20190724 130000 232.1200000 232.4800000 231.6300000 232.2900000 1293420
20190724 140000 232.3000000 233.0900000 232.2000000 232.8000000 1988570
20190724 150000 232.7900000 233.3000000 232.4800000 232.7300000 1550080
20190724 160000 232.7000000 233.2000000 232.1400000 232.3500000 1372470
20190724 170000 232.3600000 232.8400000 232.0000000 232.5000000 1752370
20190724 180000 232.5000000 233.0000000 230.8100000 230.8300000 2923340
20190724 190000 230.8100000 231.2500000 229.9000000 230.6500000 5190530
20190725 110000 229.9900000 231.9800000 229.0200000 231.4000000 7229760
20190725 120000 231.3100000 231.5200000 230.6100000 231.1100000 1441190
