<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
20190717 100500 234.3200000 237.0000000 234.0200000 236.9600000 1691860
20190717 101000 236.9800000 238.0400000 236.0300000 236.4000000 1802480
20190717 101500 236.4000000 236.7100000 235.8300000 235.9600000 780150
20190717 102000 235.9600000 236.1300000 235.3800000 235.9100000 590180
20190717 102500 235.9100000 236.5500000 235.8100000 236.4100000 543260
20190717 103000 236.4600000 236.9000000 236.4400000 236.6000000 486390
20190717 103500 236.6000000 236.9000000 236.6000000 236.7500000 268710
20190717 104000 236.7500000 236.8400000 236.3300000 236.4200000 539200
20190717 104500 236.4800000 236.9000000 236.3600000 236.8500000 286990
20190717 105000 236.8100000 237.2600000 236.4000000 237.0700000 672510
20190717 105500 237.1700000 237.4300000 236.7000000 237.3900000 556240
20190717 110000 237.3900000 237.4000000 236.8000000 237.1200000 330280
20190717 110500 237.1200000 237.4300000 237.1200000 237.1800000 341450
20190717 111000 237.1900000 237.1900000 236.8400000 236.9000000 266770
20190717 111500 236.9500000 237.1800000 236.9100000 236.9400000 184770
20190717 112000 236.9400000 237.3500000 236.9000000 237.2200000 178600
20190717 112500 237.2100000 237.3500000 236.9900000 237.1900000 498320
20190717 113000 237.1900000 237.2000000 237.0000000 237.1700000 259290
20190717 113500 237.1500000 237.2000000 236.8500000 236.9000000 233160
20190717 114000 236.9600000 237.1300000 236.8900000 236.9900000 124020
20190717 114500 236.9700000 237.0000000 236.5700000 236.7000000 193650
20190717 115000 236.7000000 236.8100000 236.5500000 236.8000000 179970
20190717 115500 236.8000000 236.9700000 236.6400000 236.8600000 147900
20190717 120000 236.8100000 237.2000000 236.7900000 237.2000000 193480
20190717 120500 237.2000000 237.2000000 236.8100000 236.9700000 260170
20190717 121000 236.9800000 237.0500000 236.8700000 236.9800000 148310
20190717 121500 236.9800000 237.0000000 236.8100000 236.8700000 87670
20190717 122000 236.8800000 237.0300000 236.8800000 236.9800000 83730
20190717 122500 237.0000000 237.1300000 236.8300000 236.9500000 139410
20190717 123000 236.9500000 237.1400000 236.9500000 237.0000000 108360
20190717 123500 237.0000000 237.2000000 237.0000000 237.2000000 236880
20190717 124000 237.2000000 237.2000000 237.0500000 237.1800000 467400
20190717 124500 237.1800000 237.2000000 237.1200000 237.2000000 202560
20190717 125000 237.2000000 237.2000000 237.0100000 237.0800000 132300
20190717 125500 237.0800000 237.2000000 237.0100000 237.1900000 148810
20190717 130000 237.1700000 237.2000000 237.0200000 237.1800000 82260
20190717 130500 237.1700000 237.2000000 237.0500000 237.0900000 143790
20190717 131000 237.0900000 237.2000000 237.0900000 237.2000000 92220
20190717 131500 237.1900000 237.6800000 237.1900000 237.3500000 806650
20190717 132000 237.3500000 237.4800000 237.3300000 237.4500000 85190
20190717 132500 237.4500000 237.7000000 237.1200000 237.1700000 501500
20190717 133000 237.1400000 237.2800000 236.8500000 236.9700000 331780
20190717 133500 236.9900000 237.1000000 236.7000000 236.8600000 321320
20190717 134000 236.8500000 236.9300000 236.7600000 236.9300000 108340
20190717 134500 236.9100000 237.0300000 236.8600000 236.9300000 179490
20190717 135000 236.8700000 237.1500000 236.8600000 237.1300000 64990
20190717 135500 237.1400000 237.2800000 237.0900000 237.1300000 114300
20190717 140000 237.1700000 237.3200000 237.1500000 237.1900000 99080
20190717 140500 237.1900000 237.3700000 237.1900000 237.3600000 66120
20190717 141000 237.3600000 237.5800000 237.0100000 237.1200000 223190
20190717 141500 237.1400000 237.2400000 236.9800000 237.0300000 125780
20190717 142000 237.0100000 237.0900000 236.8500000 237.0000000 180100
20190717 142500 237.0000000 237.0900000 236.9700000 237.0500000 80980
20190717 143000 237.0600000 237.2900000 237.0000000 237.1700000 81020
20190717 143500 237.2300000 237.3100000 237.1600000 237.2100000 55920
20190717 144000 237.1800000 237.3200000 237.1500000 237.1500000 95680
20190717 144500 237.1800000 237.4500000 237.1600000 237.3900000 170550
20190717 145000 237.3900000 237.4700000 237.3300000 237.4200000 96270
20190717 145500 237.4300000 237.5000000 237.2200000 237.2400000 185720
20190717 150000 237.2500000 237.2800000 237.1300000 237.1300000 93380
20190717 150500 237.1400000 237.2500000 237.0700000 237.1500000 121890
20190717 151000 237.1100000 237.2300000 237.0500000 237.0900000 83810
20190717 151500 237.1400000 237.1700000 236.8500000 236.8600000 208730
20190717 152000 236.8500000 237.0200000 236.8500000 236.9800000 97080
20190717 152500 237.0000000 237.1600000 237.0000000 237.1500000 66890
20190717 153000 237.1400000 237.1800000 237.0700000 237.1000000 92340
20190717 153500 237.1200000 237.2000000 236.9100000 236.9200000 170860
20190717 154000 236.9300000 236.9900000 236.8500000 236.8800000 121100
20190717 154500 236.9000000 237.1500000 236.8900000 237.1500000 61040
20190717 155000 237.1600000 237.3400000 237.1400000 237.2000000 134120
20190717 155500 237.2300000 237.3300000 237.2200000 237.2800000 79940
20190717 160000 237.2900000 237.2900000 237.1200000 237.2700000 130970
20190717 160500 237.2600000 237.2900000 237.1600000 237.2500000 138230
20190717 161000 237.2600000 237.2600000 236.7800000 236.8700000 301240
20190717 161500 236.8800000 236.8800000 235.9700000 236.3200000 755460
20190717 162000 236.3300000 236.5000000 236.1800000 236.4700000 187850
20190717 162500 236.4700000 236.6800000 236.3600000 236.5900000 204870
20190717 163000 236.6100000 236.7400000 236.4000000 236.5900000 156120
20190717 163500 236.6300000 236.9900000 236.3100000 236.9900000 315990
20190717 164000 236.9600000 237.1600000 236.8200000 236.9900000 458490
20190717 164500 236.9900000 237.1200000 236.8700000 237.0400000 153570
20190717 165000 236.9900000 237.2000000 236.8700000 237.1100000 177830
20190717 165500 237.1200000 237.2500000 237.1000000 237.1400000 146300
20190717 170000 237.1400000 237.2400000 236.9000000 237.0300000 140090
20190717 170500 236.9900000 237.1300000 236.9500000 237.1300000 58590
20190717 171000 237.0900000 237.2500000 237.0200000 237.0200000 92700
20190717 171500 237.0200000 237.1500000 236.8800000 236.8900000 136330
20190717 172000 236.8900000 236.8900000 236.4400000 236.5000000 188940
20190717 172500 236.4600000 236.4600000 236.1000000 236.4000000 245560
20190717 173000 236.4000000 236.4500000 236.1500000 236.2000000 234520
20190717 173500 236.2000000 236.2200000 235.5500000 236.1900000 525730
20190717 174000 236.1900000 236.4300000 236.1300000 236.1500000 192870
20190717 174500 236.1200000 236.1300000 235.6300000 235.8000000 332280
20190717 175000 235.7500000 235.7500000 234.0500000 234.5700000 1623980
20190717 175500 234.5700000 234.5700000 233.5000000 233.8700000 1446250
20190717 180000 233.8900000 234.3600000 233.6100000 234.0300000 591130
20190717 180500 234.0200000 234.3600000 233.8900000 234.2400000 362150
20190717 181000 234.2400000 234.2900000 234.0000000 234.2900000 479370
20190717 181500 234.2800000 234.7700000 234.2500000 234.5000000 380540
20190717 182000 234.5000000 234.9500000 234.4900000 234.8400000 359250
20190717 182500 234.8700000 234.9000000 234.5200000 234.7500000 279720
20190717 183000 234.7300000 234.7300000 233.7800000 233.9100000 711250
20190717 183500 233.8700000 234.2400000 233.8000000 234.1600000 553440
20190717 184000 234.1300000 234.3400000 234.0500000 234.1500000 462140
20190717 185000 234.6300000 234.6300000 234.6300000 234.6300000 1999830
20190718 100500 233.8100000 234.8700000 233.5000000 234.6700000 1720860
20190718 101000 234.6800000 235.4500000 234.5000000 234.9300000 727700
20190718 101500 234.9400000 235.3400000 234.7700000 235.0700000 258040
20190718 102000 235.1200000 235.2500000 234.5600000 234.7000000 340720
20190718 102500 234.7000000 235.0000000 234.4400000 234.9500000 391940
20190718 103000 234.9300000 234.9300000 234.3900000 234.5700000 97040
20190718 103500 234.5100000 234.9500000 234.3500000 234.9200000 252960
20190718 104000 234.9500000 235.1800000 234.6400000 235.0000000 251990
20190718 104500 234.9700000 235.2900000 234.9700000 235.1000000 125850
20190718 105000 235.0700000 235.1600000 234.7800000 235.0500000 159600
20190718 105500 235.1100000 235.4500000 235.0000000 235.0900000 420740
20190718 110000 235.0600000 235.1800000 234.7400000 235.0000000 141990
20190718 110500 235.0800000 235.1400000 234.5500000 234.8000000 153900
20190718 111000 234.8000000 235.2000000 234.6800000 235.0200000 164540
20190718 111500 234.9800000 235.0200000 234.7700000 234.9000000 63200
20190718 112000 234.8600000 235.0000000 234.6300000 235.0000000 137130
20190718 112500 235.0100000 235.1900000 234.9400000 235.1800000 164090
20190718 113000 235.1200000 235.2000000 234.9000000 235.0900000 218000
20190718 113500 235.0900000 235.1000000 234.8900000 234.9900000 206860
20190718 114000 234.9400000 235.0200000 234.8700000 235.0000000 50190
20190718 114500 235.0000000 235.0300000 234.7600000 234.8500000 78850
20190718 115000 234.8500000 234.9300000 234.5500000 234.7800000 110800
20190718 115500 234.7700000 234.7700000 234.3600000 234.5500000 234510
20190718 120000 234.4600000 234.5900000 234.1700000 234.3500000 337740
20190718 120500 234.2800000 234.3500000 233.6100000 233.7500000 614280
20190718 121000 233.8000000 234.1100000 233.6700000 233.9700000 633680
