<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
20100617 000000 1366.7900000 1383.3700000 1352.0200000 1356.1800000 70217178137
20100618 000000 1360.2800000 1368.9100000 1350.5300000 1367.7100000 48818953242
20100621 000000 1388.2000000 1407.8700000 1388.2000000 1406.2100000 51444284770
20100622 000000 1395.6800000 1402.1400000 1380.1700000 1388.1100000 50327577351
20100623 000000 1382.2400000 1394.6500000 1371.2100000 1377.9700000 38802706463
20100624 000000 1385.1900000 1388.9200000 1360.2100000 1363.1500000 41776181432
20100625 000000 1362.9900000 1366.6900000 1346.1300000 1347.5800000 41846620392
20100628 000000 1351.1100000 1370.1300000 1347.9100000 1363.4000000 35858447254
20100629 000000 1353.9300000 1353.9300000 1315.9100000 1323.2900000 40791793629
20100630 000000 1322.7300000 1329.1500000 1301.4500000 1309.3100000 49637506002
20100701 000000 1295.3800000 1295.3800000 1253.5200000 1254.6500000 47137305585
20100702 000000 1257.8700000 1288.7600000 1257.8700000 1288.0500000 44929731453
20100705 000000 1285.0400000 1297.4600000 1281.7400000 1292.1900000 21445869535
20100706 000000 1295.9100000 1328.1200000 1295.9100000 1327.6300000 37773322416
20100707 000000 1317.0200000 1329.1300000 1294.4400000 1327.7700000 46869057604
20100708 000000 1342.2700000 1346.5800000 1319.6000000 1320.6400000 42998350380
20100709 000000 1326.5200000 1332.3600000 1308.5600000 1324.1700000 31063775934
20100712 000000 1322.2700000 1351.2100000 1319.7800000 1344.5700000 41803759436
20100713 000000 1343.2600000 1373.2300000 1337.2500000 1367.9100000 51599861238
20100714 000000 1373.6700000 1379.4700000 1354.0000000 1358.6000000 42306838167
20100715 000000 1360.1300000 1375.5700000 1339.9600000 1340.2000000 50241544345
20100716 000000 1343.6600000 1353.7000000 1325.2600000 1327.5500000 41838264579
20100719 000000 1325.4100000 1346.6300000 1322.4900000 1336.5500000 31103986388
20100720 000000 1342.2000000 1349.6200000 1319.7900000 1328.7100000 36107205214
20100721 000000 1334.5900000 1360.0400000 1334.5900000 1354.8300000 43862252298
20100722 000000 1347.1200000 1381.4000000 1344.1700000 1381.3600000 49190435661
20100723 000000 1383.3800000 1389.1600000 1373.9400000 1380.8600000 44630449620
20100726 000000 1386.2200000 1399.4600000 1383.2700000 1396.9200000 40952651789
20100727 000000 1396.7100000 1414.0000000 1391.7700000 1401.5600000 50198454197
20100728 000000 1404.4100000 1411.3800000 1388.8300000 1394.8900000 48641770668
20100729 000000 1398.9400000 1425.0100000 1398.0000000 1418.3500000 44859183604
20100730 000000 1411.9800000 1415.1700000 1382.8500000 1397.1200000 47723177792
20100802 000000 1407.9800000 1431.4500000 1407.9800000 1429.3600000 45575670719
20100803 000000 1433.0700000 1433.3500000 1406.0400000 1412.2500000 42615311560
20100804 000000 1408.6700000 1429.0000000 1400.7000000 1418.0500000 49347284546
20100805 000000 1419.8800000 1429.2200000 1407.1500000 1414.6500000 42868563670
20100806 000000 1419.0100000 1423.3900000 1397.3600000 1403.0800000 33981916792
20100809 000000 1407.4100000 1427.8800000 1407.4100000 1419.2000000 34259773451
20100810 000000 1414.4400000 1414.4400000 1388.9500000 1397.6600000 36642439370
20100811 000000 1388.3200000 1390.4400000 1372.3300000 1376.8800000 37658478752
20100812 000000 1373.4000000 1387.9200000 1364.5000000 1375.5400000 41206939955
20100813 000000 1382.2900000 1386.5200000 1366.0300000 1371.4600000 32572493820
20100816 000000 1373.8700000 1378.7600000 1356.4300000 1373.2200000 31868258659
20100817 000000 1377.1800000 1394.6500000 1373.3000000 1391.4700000 36373174118
20100818 000000 1390.6100000 1390.6100000 1380.2400000 1386.8000000 27710767820
20100819 000000 1391.5400000 1400.8900000 1374.5700000 1375.1100000 35989270376
20100820 000000 1374.7300000 1379.3500000 1357.9700000 1366.3200000 33871995876
20100823 000000 1368.0300000 1373.9900000 1356.4500000 1366.7600000 30393532819
20100824 000000 1360.4100000 1360.4100000 1337.4700000 1339.8200000 32974805515
